english,korean,example,meaning,level
chicken,치킨,We ate fried chicken.,치킨 시켜먹었어.,easy
game,게임,Let's play a game.,게임 한 판 할래?,easy
juice,주스,Would you like some juice?,주스 좀 마실래?,easy
minute,분,Wait a minute.,잠깐만 기다려.,easy
computer,컴퓨터,Turn on the computer.,컴퓨터 켜 봐.,medium
travel,여행하다,I want to travel abroad.,나 해외여행 가고 싶어.,medium
prepare,준비하다,Let's prepare for the test.,시험 준비하자.,medium
promise,약속하다,She promised to help.,걔가 도와주기로 약속했어.,medium
prefer,선호하다,I prefer tea to coffee.,난 커피보다 차가 더 좋아.,medium
include,포함하다,The price includes tax.,세금 포함된 가격이야.,medium
improve,향상시키다,This will improve your English.,이거 영어 실력 늘릴 수 있어.,medium
develop,발전시키다,She wants to develop her skills.,걔 자기 능력 키우고 싶대.,medium
provide,제공하다,The school provides lunch.,학교에서 점심 준대.,medium
explain,설명하다,Please explain this word.,이 단어 설명 좀 해줘.,medium
change,변화,The plan can change.,계획 바뀔 수도 있어.,medium
service,서비스,The service is excellent.,여기 서비스 진짜 좋아.,medium
require,요구하다,This job requires experience.,이 일은 경력이 필요해.,medium
choose,선택하다,Choose the right answer.,맞는 답 골라봐.,medium
accept,받아들이다,He accepted my offer.,걔 내 제안 받아들였어.,medium
reach,도달하다,We reached our goal.,목표에 도달했어.,medium
express,표현하다,Express your opinion.,너 생각 좀 말해봐.,medium
decision,결정,It was a difficult decision.,결정하기 진짜 힘들었어.,medium
culture,문화,Korean culture is unique.,한국 문화 진짜 독특해.,medium
support,지지하다,My friends support me.,내 친구들이 나 응원해.,medium
increase,증가하다,The price increased.,가격이 올랐어.,medium
decrease,감소하다,Sales decreased last month.,지난달 매출 줄었어.,medium
result,결과,The result was surprising.,결과가 진짜 놀라웠어.,medium
direction,방향,Go in that direction.,저 방향으로 가.,medium
project,프로젝트,This is a big project.,이거 큰 프로젝트야.,medium
situation,상황,The situation is serious.,상황이 심각해.,medium
material,재료,We need more materials.,재료가 더 필요해.,medium
reduce,줄이다,Reduce your speed.,속도 좀 줄여.,medium
opportunity,기회,It is a good opportunity.,좋은 기회야.,medium
purpose,목적,What is your purpose?,무슨 목적으로?,medium
relationship,관계,They have a close relationship.,걔네 진짜 친한 사이야.,medium
community,공동체,We live in a small community.,작은 동네에 살아.,medium
advertise,광고하다,They advertise on TV.,TV에서 광고하네.,medium
achievement,성취,Her achievement is great.,걔 진짜 성취했어.,medium
influence,영향,He has a big influence.,걔 영향력 있어.,medium
suggest,제안하다,I suggest you try it.,그거 한 번 해보는 거 어때?,medium
consider,고려하다,Consider my opinion.,내 생각도 좀 고려해줘.,medium
recognize,인정하다,Do you recognize this song?,이 노래 들어본 적 있어?,medium
organization,조직,She works in a large organization.,걔 큰 회사 다녀.,medium
ability,능력,She has the ability to lead.,걔 리더십 있어.,medium
interview,면접,The interview was difficult.,면접 진짜 힘들었어.,medium
performance,공연,The performance was amazing.,공연 진짜 멋졌어.,medium
negotiate,협상하다,They negotiated for hours.,몇 시간 동안 협상했어.,hard
ambiguous,애매한,His answer was ambiguous.,걔 답변이 애매하더라.,hard
accumulate,축적하다,She accumulated a fortune.,걔가 재산 모았어.,hard
analogy,유사,He used an analogy to explain.,비유로 설명했어.,hard
approximate,대략의,The cost is approximate.,대략적인 가격이야.,hard
collaborate,협력하다,They collaborate on research.,걔네 연구 같이 해.,hard
compensate,보상하다,We compensated for the loss.,손해 보상해줬어.,hard
complicated,복잡한,This issue is complicated.,이 문제 진짜 복잡해.,hard
contribute,기여하다,Many people contributed.,많은 사람들이 기여했어.,hard
crucial,중대한,This is a crucial step.,이게 진짜 중요한 단계야.,hard
dedicate,헌신하다,She dedicates her time.,걔가 시간 헌신해.,hard
designate,지정하다,The area was designated.,그 지역 지정됐어.,hard
diminish,감소하다,The effect diminished.,효과가 줄었어.,hard
distribute,분배하다,Distribute the resources.,자원 나눠줘.,hard
elaborate,정교한,He gave an elaborate answer.,걔 설명 진짜 꼼꼼해.,hard
emphasize,강조하다,She emphasized the point.,걔가 그 점 강조했어.,hard
encounter,마주치다,We encountered a problem.,문제랑 마주쳤어.,hard
establish,설립하다,The company was established.,회사 세워졌어.,hard
evaluate,평가하다,Please evaluate the results.,결과 좀 평가해줘.,hard
evidence,증거,There is no evidence.,증거 없어.,hard
illustrate,설명하다,The teacher illustrated the rule.,선생님이 규칙을 쉽게 설명했어.,hard
implement,실행하다,They implemented the plan.,걔네가 계획 실행했어.,hard
indicate,나타내다,His tone indicated anger.,목소리에 화가 났더라.,hard
interpret,해석하다,Can you interpret this?,이거 해석할 수 있어?,hard
justify,정당화하다,He justified his actions.,걔가 행동을 정당화했어.,hard
obstacle,장애물,We faced an obstacle.,장애물 만났어.,hard
participate,참여하다,Many students participated.,학생들이 많이 참여했어.,hard
persuade,설득하다,He persuaded me.,걔가 날 설득했어.,hard
prioritize,우선시하다,Prioritize your tasks.,일에 우선순위 둬.,hard
recommend,추천하다,Can you recommend a movie?,영화 추천 좀 해줘.,hard
strategy,전략,We need a new strategy.,전략 새로 짜야 해.,hard
sufficient,충분한,We have sufficient time.,시간 충분해.,hard
sustainable,지속 가능한,We need sustainable energy.,지속 가능한 에너지가 필요해.,hard
unprecedented,전례 없는,This is unprecedented.,이런 일 처음이야.,hard
utilize,활용하다,Utilize your resources.,자원 잘 써.,hard
